,latitude,longitude,PRIX_m2,date_mutation,valeur_fonciere,SURF
217,41.546331,9.204506,110.29411764705884,2017-01-19,150000.0,1360.0
218,41.535153,9.284748,4061.817046518888,2017-01-25,130100.0,32.03
219,41.833122,8.78896,3684.2105263157896,2017-01-25,350000.0,95.0
220,41.92195,8.736941,2639.218791237793,2017-01-23,100000.0,37.89
221,41.935492,8.756671,2826.3441566977785,2017-01-23,215000.0,76.07
222,41.9384,8.745378,2044.757469044644,2017-01-23,180000.0,88.03
223,41.933893,8.740086,2526.120218579235,2017-01-31,115570.0,45.75
224,41.913167,8.727579,4000.0,2017-01-31,400000.0,100.0
225,41.913167,8.727579,5000.0,2017-01-31,400000.0,80.0
226,41.913167,8.727579,4000.0,2017-01-31,400000.0,100.0
227,,,2500.0,2017-01-30,170000.0,68.0
228,41.938785,8.739195,4231.4049586776855,2017-01-24,256000.0,60.5
229,41.947295,8.780964,2333.333333333333,2017-02-07,350000.0,150.0
230,41.637303,9.34104,5098.360655737705,2017-01-23,311000.0,61.0
231,41.929443,8.728149,1800.0,2017-01-24,135000.0,75.0
232,41.784438,8.981247,65.61679790026247,2017-01-23,25000.0,381.0
233,41.784368,8.981054,806.4516129032259,2017-01-23,25000.0,31.0
234,41.918309,8.733707,2997.059488803438,2017-01-23,265000.0,88.42
235,41.591912,9.352702,4848.3779971791255,2017-02-03,275000.0,56.72
236,41.586078,9.277884,3607.3177016232926,2017-01-26,280000.0,77.62
237,41.921178,8.731537,2544.529262086514,2017-01-12,250000.0,98.25
238,41.910211,8.709434,3525.641025641026,2017-01-12,137500.0,39.0
239,41.923571,8.738301,1206.896551724138,2017-01-12,70000.0,58.0
240,41.40321,9.199905,35.23994943109987,2017-01-20,139374.0,3955.0
241,41.403492,9.200037,6968.7,2017-01-20,139374.0,20.0
242,,,5149.253731343284,2017-01-16,345000.0,67.0
243,41.59043,9.277562,3019.731821650496,2017-01-10,277000.0,91.73
244,41.938812,8.746307,2305.625,2017-01-12,184450.0,80.0
245,41.609712,9.277704,236.9987063389392,2017-01-10,91600.0,386.5
246,41.634499,9.332753,3612.993740556875,2017-01-26,167390.0,46.33
247,41.590325,8.954442,51.0,2017-01-23,51000.0,1000.0
248,42.014525,8.769505,3654.444444444444,2017-01-10,328900.0,90.0
249,41.38676,9.182932,3727.272727272728,2017-02-03,205000.0,55.0
250,41.567388,9.255518,1769.2307692307693,2017-02-08,230000.0,130.0
251,41.933834,8.737466,2870.1754385964914,2017-02-08,163600.0,57.0
252,41.910254,8.714614,4389.107846649947,2017-02-08,245000.0,55.82
253,41.782119,9.39367,14.333333333333334,2017-01-27,215000.0,15000.0
254,41.782119,9.39367,58.28137706695581,2017-01-27,215000.0,3689.0
255,42.075715,8.994938,2922.5523623964928,2017-01-16,120000.0,41.06
256,42.075715,8.994938,2022.7166640734404,2017-01-16,130000.0,64.27
257,,,3925.619834710744,2017-01-16,475000.0,121.0
258,,,116.93746922698178,2017-01-16,475000.0,4062.0
259,41.924053,8.738775,1785.7142857142858,2017-01-12,125000.0,70.0
260,41.953495,8.783726,117.05685618729098,2017-01-23,70000.0,598.0
261,41.938523,8.76156,556.9461827284105,2017-01-24,445000.0,799.0
262,41.938197,8.761433,729.5081967213115,2017-01-24,445000.0,610.0
263,41.938531,8.76107,636.623748211731,2017-01-24,445000.0,699.0
264,41.674586,8.904731,1761.0619469026549,2017-01-30,199000.0,113.0
265,41.932892,8.739306,1975.3086419753083,2017-01-19,160000.0,81.0
266,41.932892,8.739306,1904.7619047619048,2017-01-19,160000.0,84.0
267,42.046348,8.926029,130.0,2017-01-19,13000.0,100.0
268,42.045601,8.926197,0.9345794392523364,2017-01-19,13000.0,13910.0
269,41.784368,8.981054,352.5264394829612,2017-01-23,15000.0,42.55
270,41.909911,8.68242,5000.0,2017-02-08,275000.0,55.0
271,42.188621,8.911444,269.6629213483146,2017-01-23,6000.0,22.25
272,42.18871,8.911324,11.11111111111111,2017-01-23,6000.0,540.0
273,41.924611,8.730122,3315.198911934716,2017-02-10,195000.0,58.82
274,41.919304,8.729778,3676.8043576940536,2017-01-26,162000.0,44.06
275,41.909107,8.717855,4379.56204379562,2017-02-10,240000.0,54.8
276,41.848975,8.788194,5237.5,2017-01-26,419000.0,80.0
277,41.848975,8.788194,4621.026894865526,2017-01-25,189000.0,40.9
278,41.824982,9.321987,347.22222222222223,2017-02-06,25000.0,72.0
279,41.648912,9.297233,4.66442083441306,2017-02-07,18000.0,3859.0
280,,,4051.6666666666665,2017-01-20,972400.0,240.0
281,,,4051.6666666666665,2017-01-20,972400.0,240.0
282,41.892041,9.004905,14.379084967320262,2017-01-23,2200.0,153.0
283,41.856273,8.794525,3589.779391231499,2017-01-20,385650.0,107.43
284,41.856273,8.794525,2641.4383561643835,2017-01-20,385650.0,146.0
285,41.99518,9.050844,0.5305352511200189,2017-01-20,4500.0,8482.0
286,41.990165,8.847874,70.58823529411765,2017-01-30,120000.0,1700.0
287,41.948603,8.799168,2820.873786407767,2017-01-26,290550.0,103.0
288,41.948603,8.799168,216.02230483271376,2017-01-26,290550.0,1345.0
289,41.918268,8.729569,1421.3197969543148,2017-02-13,140000.0,98.5
290,42.212528,8.826268,18.62828111769687,2017-01-20,22000.0,1181.0
291,41.93037,8.758948,3472.222222222222,2017-01-17,125000.0,36.0
292,42.058732,8.750399,48.732943469785575,2017-01-23,100000.0,2052.0
293,41.890144,8.809714,6117.888888888889,2017-02-02,275305.0,45.0
294,42.102886,8.841814,464.2857142857143,2017-01-23,13000.0,28.0
295,41.933072,8.738767,1972.2222222222224,2017-01-19,142000.0,72.0
